Graph,Reward,Attempt,RawAction,Node_U,Node_V,Edge,WasValid,WasAdded,StepReward
Cesnet200511,EFFRES,4,0,1,2,1-2,True,True,0.03057923175171459
Cesnet200511,EFFRES,5,22,21,36,21-36,True,True,0.03279871609336396
Cesnet200511,EFFRES,6,13,19,20,19-20,True,True,0.05441737790604156
Cesnet200511,EFFRES,7,13,23,31,23-31,True,True,0.03987915375174643
Cesnet200511,EFFRES,8,13,25,28,25-28,True,True,0.03864581899233656
Cesnet200511,EFFRES,9,13,0,15,0-15,True,True,0.014966052862545237
Cesnet200511,EFFRES,10,13,1,10,1-10,True,True,0.037630575218068785
Cesnet200511,IVI,1,58,20,35,20-35,True,True,0.12117323783275269
Cesnet200511,IVI,2,4,15,17,15-17,True,True,0.33664021164021146
Cesnet200511,IVI,3,45,15,35,15-35,True,True,0.06966657630794273
Cesnet200511,IVI,4,42,17,35,17-35,True,True,0.09523809523809491
Cesnet200511,IVI,5,42,6,35,6-35,True,True,0.1129279509453244
Cesnet200511,IVI,6,42,23,35,23-35,True,True,0.10131766381766368
Cesnet200511,IVI,7,42,35,36,35-36,True,True,0.07025465053277916
Cesnet200511,IVI,8,42,1,35,1-35,True,True,0.053657759775258725
Cesnet200511,IVI,9,42,2,35,2-35,True,True,0.042268311892885414
Cesnet200511,IVI,10,42,4,35,4-35,True,True,0.045863436390054906
Cesnet200511,NNSI,1,68,7,32,7-32,True,True,0.0
Cesnet200511,NNSI,2,68,7,17,7-17,True,True,0.0
Cesnet200511,NNSI,3,72,2,7,2-7,True,True,0.0
Cesnet200511,NNSI,4,77,7,15,7-15,True,True,0.0
Cesnet200511,NNSI,5,77,7,19,7-19,True,True,0.03846153841346151
Cesnet200511,NNSI,6,77,7,20,7-20,True,True,0.06491228061736842
Cesnet200511,NNSI,7,42,9,35,9-35,True,True,-0.07247386749506246
Cesnet200511,NNSI,8,42,6,35,6-35,True,True,-0.037037036989026044
Cesnet200511,NNSI,9,42,17,35,17-35,True,True,0.04670329664491763
Cesnet200511,NNSI,10,42,20,35,20-35,True,True,0.014409221883123305
Telecomserbia,PBR,1,8,3,5,3-5,True,True,1.0
Telecomserbia,PBR,2,2,0,3,0-3,True,True,0.5555555373333335
Telecomserbia,EFFRES,1,0,0,3,0-3,True,True,0.18857142846367383
Telecomserbia,EFFRES,2,0,1,4,1-4,True,True,0.2077464787269388
Telecomserbia,IVI,1,0,0,3,0-3,True,True,-1.0
Telecomserbia,IVI,2,0,1,4,1-4,True,True,0.0
Telecomserbia,NNSI,1,8,3,5,3-5,True,True,-1.0
Telecomserbia,NNSI,2,2,0,3,0-3,True,True,0.49999999875
Evolink,PBR,1,58,14,25,14-25,True,True,0.02330022895078372
Evolink,PBR,2,58,14,30,14-30,True,True,0.020685578995544077
Evolink,PBR,3,58,14,31,14-31,True,True,0.018419693404230716
Evolink,PBR,4,58,11,12,11-12,True,True,0.006391200907674252
Evolink,PBR,5,58,6,12,6-12,True,True,0.0058257688266985476
Evolink,PBR,6,58,12,32,12-32,True,True,0.007340879207518105
Evolink,PBR,7,40,6,14,6-14,True,True,0.015492253725675316
Evolink,PBR,8,40,14,32,14-32,True,True,0.01446428557856966
Evolink,PBR,9,40,0,14,0-14,True,True,0.010888424978261643
Evolink,PBR,10,40,14,34,14-34,True,True,0.009950248667849366
Evolink,EFFRES,1,3,2,15,2-15,True,True,0.1269104217125561
Evolink,EFFRES,2,3,4,22,4-22,True,True,0.08839462116836434
Evolink,EFFRES,3,3,0,30,0-30,True,True,0.08399154822459733
Evolink,EFFRES,4,2,1,35,1-35,True,True,0.04881757890909958
Evolink,EFFRES,5,2,2,25,2-25,True,True,0.07388729014871209
Evolink,EFFRES,6,0,0,10,0-10,True,True,0.06437196677655657
Evolink,EFFRES,7,0,15,31,15-31,True,True,0.059066817712219166
Evolink,EFFRES,8,0,24,35,24-35,True,True,0.04685552847747922
Evolink,EFFRES,9,0,1,9,1-9,True,True,0.04138572340268726
Evolink,EFFRES,10,0,1,15,1-15,True,True,0.027521521338032345
Evolink,IVI,1,114,15,19,15-19,True,True,0.03333333333333332
Evolink,IVI,2,114,20,21,20-21,True,True,0.06249999999999992
Evolink,IVI,3,44,3,14,3-14,True,True,0.05721849921403154
Evolink,IVI,4,87,9,30,9-30,True,True,0.0
Evolink,IVI,5,87,18,25,18-25,True,True,0.516114235551739
Evolink,IVI,6,83,24,31,24-31,True,True,0.0
Evolink,IVI,7,83,0,36,0-36,True,True,0.9999987119987301
Evolink,IVI,8,83,1,19,1-19,True,True,-0.021008401281426965
Evolink,IVI,9,83,10,15,10-15,True,True,0.633481621323123
Evolink,IVI,10,83,1,9,1-9,True,True,-0.08172388592377766
Evolink,NNSI,1,34,18,28,18-28,True,True,0.0
Evolink,NNSI,2,105,15,20,15-20,True,True,0.0
Evolink,NNSI,3,80,1,9,1-9,True,True,0.0
Evolink,NNSI,4,80,10,19,10-19,True,True,0.0
Evolink,NNSI,5,80,21,24,21-24,True,True,0.0
Evolink,NNSI,6,80,25,30,25-30,True,True,0.0
Evolink,NNSI,7,80,31,36,31-36,True,True,0.49999999937499995
Evolink,NNSI,8,80,0,1,0-1,True,True,0.0
Evolink,NNSI,9,59,10,14,10-14,True,True,0.0
Evolink,NNSI,10,80,2,9,2-9,True,True,0.0
Packetexchange,PBR,1,32,2,19,2-19,True,True,0.09288135407135235
Packetexchange,PBR,2,32,1,19,1-19,True,True,0.09155597552936111
Packetexchange,PBR,3,32,10,19,10-19,True,True,0.07297830252263199
Packetexchange,PBR,4,32,7,19,7-19,True,True,0.052556817380229964
Packetexchange,PBR,5,32,14,19,14-19,True,True,0.04982456067922673
Packetexchange,PBR,6,32,8,19,8-19,True,True,0.03338632705824852
Packetexchange,EFFRES,1,13,5,16,5-16,True,True,0.23291059660165453
Packetexchange,EFFRES,2,13,4,15,4-15,True,True,0.205018488101149
Packetexchange,EFFRES,3,0,0,8,0-8,True,True,0.09254109593945035
Packetexchange,EFFRES,4,0,2,17,2-17,True,True,0.10064991540000719
Packetexchange,EFFRES,5,0,5,17,5-17,True,True,0.06359732188229784
Packetexchange,EFFRES,6,0,6,8,6-8,True,True,0.08695960458825834
Packetexchange,IVI,1,41,1,14,1-14,True,True,0.1715673459240095
Packetexchange,IVI,2,52,1,5,1-5,True,True,0.08204034555440778
Packetexchange,IVI,3,35,1,11,1-11,True,True,0.2552083292106121
Packetexchange,IVI,4,32,1,19,1-19,True,True,0.315795311711785
Packetexchange,IVI,5,64,9,17,9-17,True,True,0.6547280455514771
Packetexchange,IVI,6,32,1,10,1-10,True,True,-0.20873597280974465
Packetexchange,NNSI,1,1,5,17,5-17,True,True,0.46162334454191234
Packetexchange,NNSI,2,75,5,16,5-16,True,True,-0.060913771149164096
Packetexchange,NNSI,3,68,3,6,3-6,True,True,-0.0007949210886436744
Packetexchange,NNSI,4,68,8,15,8-15,True,True,-0.045752936085834195
Packetexchange,NNSI,5,65,0,18,0-18,True,True,0.14829639231968894
Packetexchange,NNSI,6,65,12,13,12-13,True,True,0.052881286064701376
